iter	Passed	Remaining
0	0	94
1	0	80
2	1	73
3	1	71
4	1	68
5	2	66
6	2	65
7	2	63
8	2	62
9	3	62
10	3	61
11	3	60
12	4	59
13	4	59
14	4	59
15	5	58
16	5	58
17	5	58
18	6	57
19	6	57
20	6	56
21	6	56
22	7	55
23	7	55
24	7	55
25	8	54
26	8	54
27	8	53
28	9	53
29	9	53
30	9	52
31	9	52
32	10	51
33	10	51
34	10	51
35	11	50
36	11	50
37	11	50
38	12	49
39	12	49
40	12	49
41	13	48
42	13	48
43	13	48
44	13	47
45	14	47
46	14	47
47	14	46
48	15	46
49	15	46
50	15	45
51	16	45
52	16	45
53	16	44
54	16	44
55	17	44
56	17	43
57	17	43
58	18	43
59	18	43
60	18	42
61	19	42
62	19	42
63	19	41
64	20	41
65	20	41
66	20	40
67	20	40
68	21	40
69	21	39
70	21	39
71	22	39
72	22	38
73	22	38
74	22	38
75	23	38
76	23	37
77	23	37
78	24	37
79	24	36
80	24	36
81	25	36
82	25	35
83	25	35
84	26	35
85	26	34
86	26	34
87	26	34
88	27	33
89	27	33
90	27	33
91	28	33
92	28	32
93	28	32
94	29	32
95	29	31
96	29	31
97	29	31
98	30	30
99	30	30
100	30	30
101	31	29
102	31	29
103	31	29
104	31	28
105	32	28
106	32	28
107	33	28
108	33	27
109	33	27
110	34	27
111	34	26
112	34	26
113	34	26
114	35	26
115	35	25
116	35	25
117	36	25
118	36	24
119	36	24
120	36	24
121	37	23
122	37	23
123	37	23
124	38	22
125	38	22
126	38	22
127	39	21
128	39	21
129	39	21
130	39	21
131	40	20
132	40	20
133	40	20
134	41	19
135	41	19
136	41	19
137	42	18
138	42	18
139	42	18
140	42	17
141	43	17
142	43	17
143	43	17
144	44	16
145	44	16
146	44	16
147	44	15
148	45	15
149	45	15
150	45	14
151	46	14
152	46	14
153	46	13
154	47	13
155	47	13
156	47	13
157	47	12
158	48	12
159	48	12
160	48	11
161	49	11
162	49	11
163	49	10
164	50	10
165	50	10
166	50	10
167	51	9
168	51	9
169	51	9
170	51	8
171	52	8
172	52	8
173	52	7
174	53	7
175	53	7
176	53	6
177	53	6
178	54	6
179	54	6
180	54	5
181	55	5
182	55	5
183	55	4
184	56	4
185	56	4
186	56	3
187	56	3
188	57	3
189	57	3
190	57	2
191	58	2
192	58	2
193	58	1
194	58	1
195	59	1
196	59	0
197	59	0
198	60	0
199	60	0
