iter	Passed	Remaining
0	0	766
1	1	658
2	1	624
3	2	591
4	2	590
5	3	594
6	4	596
7	4	591
8	5	584
9	5	579
10	6	576
11	6	573
12	7	576
13	8	582
14	8	580
15	9	572
16	9	567
17	10	564
18	10	560
19	11	556
20	11	555
21	12	557
22	13	553
23	13	553
24	14	555
25	14	552
26	15	549
27	15	546
28	16	544
29	16	543
30	17	541
31	17	540
32	18	540
33	19	543
34	19	542
35	20	541
36	20	540
37	21	541
38	21	541
39	22	541
40	23	538
41	23	537
42	24	536
43	24	536
44	25	534
45	25	534
46	26	532
47	26	532
48	27	532
49	27	531
50	28	530
51	28	528
52	29	526
53	30	526
54	30	525
55	31	524
56	31	526
57	32	525
58	32	523
59	33	522
60	33	521
61	34	520
62	34	519
63	35	520
64	36	522
65	36	522
66	37	521
67	37	520
68	38	519
69	39	518
70	39	517
71	40	516
72	40	514
73	41	513
74	41	512
75	42	511
76	42	510
77	43	511
78	43	511
79	44	509
80	44	508
81	45	508
82	45	504
83	46	503
84	46	501
85	47	501
86	47	500
87	48	499
88	48	499
89	49	498
90	49	498
91	50	498
92	51	497
93	51	496
94	52	495
95	52	494
96	52	492
97	53	491
98	53	489
99	54	488
100	54	487
101	55	486
102	55	485
103	56	485
104	56	485
105	57	484
106	58	484
107	58	484
108	59	484
109	60	485
110	60	485
111	61	484
112	61	484
113	62	483
114	62	483
115	63	482
116	63	480
117	64	480
118	65	481
119	65	480
120	66	479
121	66	478
122	67	478
123	67	477
124	68	476
125	68	475
126	68	474
127	69	473
128	70	473
129	70	472
130	71	471
131	71	470
132	72	470
133	72	469
134	73	469
135	73	468
136	74	468
137	74	467
138	75	467
139	75	466
140	76	465
141	76	464
142	77	463
143	77	462
144	78	461
145	79	463
146	79	463
147	80	463
148	81	464
149	81	463
150	82	462
151	82	461
152	83	460
153	83	459
154	84	458
155	84	457
156	85	456
157	85	455
158	86	455
159	86	454
160	86	452
161	87	451
162	87	451
163	88	451
164	89	451
165	89	450
166	90	449
167	90	448
168	91	447
169	91	446
170	91	445
171	92	445
172	92	444
173	93	443
174	94	443
175	94	442
176	95	442
177	95	441
178	96	440
179	96	439
180	97	439
181	97	438
182	97	437
183	98	436
184	98	435
185	99	434
186	99	433
187	100	432
188	100	432
189	101	431
190	101	430
191	102	429
192	102	428
193	103	428
194	103	427
195	104	426
196	104	426
197	105	425
198	105	424
199	105	423
200	106	422
201	106	422
202	107	421
203	107	420
204	108	419
205	108	419
206	109	418
207	109	418
208	110	417
209	110	416
210	111	416
211	111	415
212	112	414
213	112	413
214	113	412
215	113	412
216	114	411
217	114	410
218	114	409
219	115	408
220	115	408
221	116	407
222	116	406
223	117	406
224	117	405
225	118	405
226	119	405
227	119	404
228	120	404
229	120	403
230	121	403
231	122	404
232	122	404
233	123	403
234	123	403
235	124	402
236	124	401
237	125	400
238	125	400
239	126	399
240	126	398
241	127	397
242	127	397
243	128	396
244	128	395
245	128	395
246	129	394
247	129	393
248	130	393
249	130	392
250	131	391
251	131	390
252	132	390
253	132	389
254	133	389
255	133	388
256	134	388
257	134	388
258	135	387
259	135	387
260	136	387
261	137	386
262	138	387
263	138	387
264	139	386
265	140	386
266	140	386
267	141	385
268	141	385
269	142	384
270	142	384
271	143	383
272	143	383
273	144	382
274	144	382
275	145	382
276	146	381
277	146	381
278	147	380
279	147	379
280	148	379
281	148	379
282	149	378
283	150	378
284	150	378
285	151	377
286	151	377
287	152	376
288	152	375
289	153	375
290	153	374
291	154	373
292	154	373
293	155	372
294	155	371
295	156	371
296	156	370
297	157	370
298	157	369
299	158	369
300	158	368
301	159	367
302	159	367
303	160	366
304	160	365
305	160	365
306	161	364
307	161	363
308	162	363
309	162	362
310	163	362
311	164	361
312	164	361
313	165	361
314	166	361
315	166	360
316	167	360
317	167	360
318	168	359
319	168	358
320	169	358
321	170	358
322	170	357
323	171	357
324	171	356
325	172	356
326	172	355
327	173	354
328	173	354
329	174	353
330	174	352
331	174	352
332	175	351
333	175	350
334	176	350
335	176	349
336	177	348
337	177	348
338	178	347
339	178	347
340	179	346
341	180	346
342	180	345
343	181	345
344	181	344
345	181	343
346	182	343
347	182	342
348	183	341
349	183	341
350	184	340
351	184	340
352	185	339
353	185	339
354	186	338
355	186	338
356	187	337
357	187	336
358	188	336
359	188	335
360	189	334
361	189	334
362	190	333
363	190	333
364	191	332
365	191	331
366	192	331
367	192	330
368	193	330
369	193	330
370	194	329
371	195	329
372	195	329
373	196	328
374	196	328
375	197	327
376	197	326
377	198	326
378	198	325
379	199	324
380	199	324
381	200	323
382	200	323
383	201	322
384	201	321
385	202	321
386	202	320
387	202	320
388	203	319
389	203	318
390	204	318
391	204	317
392	205	317
393	205	316
394	206	315
395	206	315
396	207	314
397	207	314
398	208	313
399	208	313
400	209	313
401	210	312
402	210	312
403	211	311
404	211	310
405	212	310
406	212	309
407	212	308
408	213	308
409	213	307
410	214	307
411	214	306
412	215	306
413	216	305
414	216	305
415	216	304
416	217	303
417	217	303
418	218	302
419	218	302
420	219	301
421	219	301
422	220	300
423	220	299
424	221	299
425	221	298
426	222	298
427	222	297
428	223	297
429	223	296
430	224	296
431	225	296
432	225	295
